chr	center_boundary	ULB_mean_IS
18	260000	-0.9654312873821742
18	400000	0.03643247288669595
18	520000	-0.041414670567182656
18	720000	-0.448871387028364
18	840000	-0.7553428739417423
18	980000	-0.4531720767147218
18	1180000	-0.37220541393335943
18	1300000	-0.7218586070866156
18	1420000	-0.99725436140751
18	1540000	-0.1860817700051519
18	1820000	-0.7275456980202587
18	2000000	-0.019813420692655914
18	2140000	0.029509669056299495
18	2260000	0.1019771307206707
18	2420000	-0.41454622374085953
18	2540000	-0.7075029804887659
18	2700000	-0.2912911745678966
18	2800000	-0.18839106056376728
18	3080000	-0.5908597373122539
18	3200000	-0.8858261679943619
18	3300000	-0.5831996227579435
18	3420000	-0.33468609291585344
18	3520000	-0.14566253919135605
18	3660000	0.050147770730215695
18	3780000	-0.008379203752734503
18	3920000	-0.04650559473604484
18	4060000	-0.023978071625783068
18	4200000	0.02064673954496842
18	4320000	-0.13074454803966687
18	4480000	-0.6657609951073008
18	4660000	-1.3116074687163983
18	4760000	-0.4536837907977223
18	4940000	0.661781689181403
18	5160000	-0.09735231700666754
18	5260000	0.06020557469240479
18	5560000	0.24217316003599051
18	5720000	0.26377471943361136
18	5920000	-0.28291431492340885
18	6100000	0.24747599657613908
18	6280000	-0.47528143107954396
18	6460000	-0.07654565361572291
18	6600000	-0.5062561063671773
18	6720000	-0.051884527224082905
18	6820000	0.42897371416594376
18	7020000	-0.2303097087370056
18	7260000	-0.1981571328813707
18	7380000	-0.4414687660683123
18	7520000	-0.06047881200375238
18	7720000	-0.4794428406630018
18	7960000	0.3797964484697658
18	8100000	0.040704139268166455
18	8220000	-0.4444382699768588
18	8380000	-0.5540947432177357
18	8720000	-0.11313451694900219
18	8840000	-0.4175303710978411
18	9140000	-0.08845912432523907
18	9360000	-0.34661793768983135
18	9720000	-0.4921681442004268
18	9940000	0.2659945992448578
18	10100000	0.10043840171861279
18	10260000	-0.3385314397621622
18	10360000	-0.32405616813377197
18	10640000	-0.02049740283284607
18	10820000	-0.9747206476016758
18	10920000	-0.7035920373782476
18	11020000	-0.1523602142629137
18	11500000	-0.6794738328803605
18	11640000	0.06776920395920959
18	11960000	-0.6004066480025884
18	12380000	-0.3812835383358319
18	12500000	-0.1292189606301955
18	12640000	0.169397390193208
18	12860000	-0.04181990928628776
18	12980000	-0.5400129417165055
18	13180000	-1.20546625528121
18	13280000	-0.5654864085153041
18	13560000	-0.2643983747671883
18	13740000	-0.41977857189184037
18	14040000	-0.19076199030949473
18	14260000	0.15075796685574264
18	14600000	-0.849667238020971
18	14780000	-0.7092181170392148
18	15060000	-0.23030606438112966
18	15420000	0.07781549966576334
18	15740000	-0.011874006828651433
18	15920000	0.34056283358341616
18	16040000	0.3530144197160485
18	16180000	0.24800042089284957
18	16360000	-0.31058912052260973
18	16480000	-0.5817431079570144
18	16840000	-0.012941263505443579
18	17080000	-0.10539795016063348
18	17220000	-0.4044464675633393
18	17340000	-0.9066081020298075
18	17500000	-0.49286171208977514
18	17600000	0.47202805052127145
18	17720000	0.9211887526824151
18	17880000	0.4420828228120616
18	18060000	-0.7853515160985168
18	18160000	-0.1945774911428565
18	18300000	0.4995003393164335
